# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669823733, 0, 0, 5, 5, 1, 0.16%, 0, 0, 1, 1250.00
1669823738, 0, 4, 5, 1, 0, 0.16%, 0, 0, 1, 1507.32
1669823743, 3, 3, 5, 0, 0, 0.16%, 0, 0, 1, 1507.42
1669823748, 6, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1471.97
1669823753, 8, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1580.90
1669823758, 11, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1637.63
1669823763, 14, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1501.67
1669823768, 16, 1, 5, 0, 0, 0.16%, 0, 0, 1, 1198.54
1669823773, 18, 3, 5, 0, 0, 0.16%, 0, 0, 1, 1409.64
1669823778, 21, 1, 5, 0, 0, 0.16%, 0, 0, 1, 1471.39
1669823784, 23, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1437.08
1669823789, 26, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1548.17
1669823794, 29, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1470.13
1669823799, 31, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1457.25
1669823804, 33, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1306.10
1669823809, 36, 3, 5, 0, 0, 0.16%, 0, 0, 1, 1517.83
1669823814, 39, 1, 5, 0, 0, 0.16%, 0, 0, 1, 1571.04
1669823819, 42, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1630.42
1669823824, 45, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1675.67
1669823829, 47, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1524.98
1669823834, 49, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1443.26
1669823840, 52, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1491.87
1669823845, 54, 3, 5, 0, 0, 0.16%, 0, 0, 1, 1444.79
1669823850, 57, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1528.63
1669823855, 60, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1706.87
1669823860, 63, 2, 5, 0, 0, 0.16%, 0, 0, 1, 1746.90
1669823865, 66, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1547.50
1669823870, 69, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1713.66
1669823875, 72, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1783.02
1669823880, 74, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1681.08
1669823886, 77, 4, 5, 0, 0, 0.16%, 0, 0, 1, 1674.51
1669823891, 80, 0, 5, 0, 0, 0.16%, 0, 0, 1, 1543.87
