# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669811259, 0, 0, 16, 16, 1, 0.21%, 0, 0, 1, 2461.54
1669811264, 10, 2, 16, 4, 0, 0.21%, 0, 0, 1, 4116.62
1669811269, 36, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4585.83
1669811274, 64, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4134.63
1669811280, 102, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4342.98
1669811285, 132, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4379.87
1669811290, 159, 6, 16, 0, 0, 0.21%, 0, 0, 1, 4471.87
1669811295, 192, 4, 16, 0, 0, 0.21%, 0, 0, 1, 4303.06
1669811300, 220, 7, 16, 0, 0, 0.21%, 0, 0, 1, 3760.04
1669811305, 252, 7, 16, 0, 0, 0.21%, 0, 0, 1, 3903.78
1669811310, 284, 9, 16, 0, 0, 0.21%, 0, 0, 1, 4387.76
1669811315, 316, 5, 16, 0, 0, 0.21%, 0, 0, 1, 3589.77
1669811320, 352, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4586.28
1669811326, 382, 7, 16, 0, 0, 0.21%, 0, 0, 1, 3574.01
1669811331, 420, 7, 16, 0, 0, 0.21%, 0, 0, 1, 3577.89
1669811336, 454, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4023.69
1669811341, 476, 12, 16, 0, 0, 0.21%, 0, 0, 1, 3565.96
1669811346, 516, 8, 16, 0, 0, 0.21%, 0, 0, 1, 4185.65
1669811351, 541, 7, 16, 0, 0, 0.21%, 0, 0, 1, 3650.56
1669811356, 570, 5, 16, 0, 0, 0.21%, 0, 0, 1, 3465.95
1669811361, 594, 7, 16, 0, 0, 0.21%, 0, 0, 1, 2974.44
1669811366, 610, 7, 16, 0, 0, 0.21%, 0, 0, 1, 2227.92
1669811371, 633, 9, 16, 0, 0, 0.21%, 0, 0, 1, 2712.00
1669811377, 667, 2, 16, 0, 0, 0.21%, 0, 0, 1, 3805.24
1669811382, 703, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4438.85
1669811387, 746, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4602.91
1669811392, 784, 15, 16, 0, 0, 0.21%, 0, 0, 1, 4336.32
1669811397, 822, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4620.68
1669811402, 858, 7, 16, 0, 0, 0.21%, 0, 0, 1, 4421.60
1669811407, 896, 12, 16, 0, 0, 0.21%, 0, 0, 1, 4253.48
1669811412, 920, 15, 16, 0, 0, 0.21%, 0, 0, 1, 3501.11
1669811417, 933, 7, 16, 0, 0, 0.21%, 0, 0, 1, 2099.80
1669811423, 943, 0, 16, 0, 0, 0.21%, 0, 0, 1, 1468.33
1669811428, 955, 12, 16, 0, 0, 0.21%, 0, 0, 1, 1753.48
1669811433, 971, 5, 16, 0, 0, 0.21%, 0, 0, 1, 1876.52
1669811438, 985, 7, 16, 0, 0, 0.21%, 0, 0, 1, 1780.29
1669811443, 999, 7, 16, 0, 0, 0.21%, 0, 0, 1, 1717.72
1669811448, 1011, 10, 16, 0, 0, 0.21%, 0, 0, 1, 1720.38
1669811453, 1023, 8, 16, 0, 0, 0.21%, 0, 0, 1, 1682.03
1669811458, 1037, 7, 16, 0, 0, 0.21%, 0, 0, 1, 1757.13
1669811463, 1052, 12, 16, 0, 0, 0.21%, 0, 0, 1, 1876.34
1669811468, 1068, 7, 16, 0, 0, 0.21%, 0, 0, 1, 1928.08
1669811473, 1082, 12, 16, 0, 0, 0.21%, 0, 0, 1, 1966.19
1669811478, 1094, 9, 16, 0, 0, 0.21%, 0, 0, 1, 1784.68
1669811483, 1109, 3, 16, 0, 0, 0.21%, 0, 0, 1, 1807.01
