# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669813863, 0, 0, 9, 9, 1, 0.04%, 0, 0, 1, 537.31
1669813868, 0, 2, 9, 7, 0, 0.04%, 0, 0, 1, 700.09
1669813873, 0, 4, 9, 5, 0, 0.04%, 0, 0, 1, 722.04
1669813878, 0, 7, 9, 2, 0, 0.04%, 0, 0, 1, 779.39
1669813883, 1, 7, 9, 0, 0, 0.04%, 0, 0, 1, 791.06
1669813888, 3, 3, 9, 0, 0, 0.04%, 0, 0, 1, 740.96
1669813894, 5, 1, 9, 0, 0, 0.04%, 0, 0, 1, 772.33
1669813899, 6, 8, 9, 0, 0, 0.04%, 0, 0, 1, 780.35
1669813904, 8, 4, 9, 0, 0, 0.04%, 0, 0, 1, 733.91
1669813909, 10, 3, 9, 0, 0, 0.04%, 0, 0, 1, 847.13
1669813914, 12, 3, 9, 0, 0, 0.04%, 0, 0, 1, 864.01
1669813919, 14, 2, 9, 0, 0, 0.04%, 0, 0, 1, 873.81
1669813924, 16, 2, 9, 0, 0, 0.04%, 0, 0, 1, 877.22
1669813929, 18, 1, 9, 0, 0, 0.04%, 0, 0, 1, 877.46
1669813935, 20, 1, 9, 0, 0, 0.04%, 0, 0, 1, 878.94
1669813940, 22, 1, 9, 0, 0, 0.04%, 0, 0, 1, 879.41
1669813945, 24, 0, 9, 0, 0, 0.04%, 0, 0, 1, 878.57
1669813950, 26, 0, 9, 0, 0, 0.04%, 0, 0, 1, 873.54
1669813955, 27, 8, 9, 0, 0, 0.04%, 0, 0, 1, 878.08
1669813960, 29, 8, 9, 0, 0, 0.04%, 0, 0, 1, 878.21
1669813965, 31, 7, 9, 0, 0, 0.04%, 0, 0, 1, 877.22
1669813970, 33, 7, 9, 0, 0, 0.04%, 0, 0, 1, 877.71
1669813976, 35, 6, 9, 0, 0, 0.04%, 0, 0, 1, 879.26
1669813981, 37, 6, 9, 0, 0, 0.04%, 0, 0, 1, 878.22
1669813986, 39, 5, 9, 0, 0, 0.04%, 0, 0, 1, 879.65
1669813991, 41, 5, 9, 0, 0, 0.04%, 0, 0, 1, 878.62
1669813996, 43, 4, 9, 0, 0, 0.04%, 0, 0, 1, 878.60
1669814001, 45, 4, 9, 0, 0, 0.04%, 0, 0, 1, 878.73
1669814006, 47, 4, 9, 0, 0, 0.04%, 0, 0, 1, 879.75
1669814011, 49, 3, 9, 0, 0, 0.04%, 0, 0, 1, 878.97
1669814016, 51, 2, 9, 0, 0, 0.04%, 0, 0, 1, 860.04
1669814021, 53, 1, 9, 0, 0, 0.04%, 0, 0, 1, 859.82
1669814027, 55, 0, 9, 0, 0, 0.04%, 0, 0, 1, 856.30
1669814032, 57, 0, 9, 0, 0, 0.04%, 0, 0, 1, 872.35
1669814037, 58, 8, 9, 0, 0, 0.04%, 0, 0, 1, 868.58
1669814042, 60, 7, 9, 0, 0, 0.04%, 0, 0, 1, 868.66
1669814047, 62, 7, 9, 0, 0, 0.04%, 0, 0, 1, 877.37
1669814052, 64, 6, 9, 0, 0, 0.04%, 0, 0, 1, 878.93
1669814057, 66, 5, 9, 0, 0, 0.04%, 0, 0, 1, 813.92
1669814062, 68, 1, 9, 0, 0, 0.04%, 0, 0, 1, 742.46
1669814067, 69, 7, 9, 0, 0, 0.04%, 0, 0, 1, 756.31
1669814072, 71, 5, 9, 0, 0, 0.04%, 0, 0, 1, 775.91
1669814077, 72, 8, 9, 0, 0, 0.04%, 0, 0, 1, 655.13
1669814083, 74, 7, 9, 0, 0, 0.04%, 0, 0, 1, 782.03
1669814088, 76, 5, 9, 0, 0, 0.04%, 0, 0, 1, 805.74
1669814093, 78, 3, 9, 0, 0, 0.04%, 0, 0, 1, 817.90
1669814098, 80, 2, 9, 0, 0, 0.04%, 0, 0, 1, 823.57
1669814103, 82, 0, 9, 0, 0, 0.04%, 0, 0, 1, 825.92
1669814108, 83, 7, 9, 0, 0, 0.04%, 0, 0, 1, 822.15
1669814113, 85, 6, 9, 0, 0, 0.04%, 0, 0, 1, 825.75
1669814118, 87, 4, 9, 0, 0, 0.04%, 0, 0, 1, 828.23
1669814123, 89, 3, 9, 0, 0, 0.04%, 0, 0, 1, 830.05
1669814128, 91, 1, 9, 0, 0, 0.04%, 0, 0, 1, 827.20
1669814133, 93, 0, 9, 0, 0, 0.04%, 0, 0, 1, 829.37
1669814139, 94, 7, 9, 0, 0, 0.04%, 0, 0, 1, 818.37
1669814144, 96, 5, 9, 0, 0, 0.04%, 0, 0, 1, 824.63
1669814149, 98, 4, 9, 0, 0, 0.04%, 0, 0, 1, 828.44
1669814154, 100, 2, 9, 0, 0, 0.04%, 0, 0, 1, 827.52
1669814159, 102, 1, 9, 0, 0, 0.04%, 0, 0, 1, 827.07
1669814164, 103, 8, 9, 0, 0, 0.04%, 0, 0, 1, 823.12
1669814169, 105, 6, 9, 0, 0, 0.04%, 0, 0, 1, 827.88
1669814174, 107, 5, 9, 0, 0, 0.04%, 0, 0, 1, 827.88
1669814179, 109, 3, 9, 0, 0, 0.04%, 0, 0, 1, 826.90
1669814184, 111, 2, 9, 0, 0, 0.04%, 0, 0, 1, 830.15
1669814189, 113, 0, 9, 0, 0, 0.04%, 0, 0, 1, 830.86
1669814194, 114, 8, 9, 0, 0, 0.04%, 0, 0, 1, 831.53
1669814199, 116, 6, 9, 0, 0, 0.04%, 0, 0, 1, 815.39
1669814205, 118, 2, 9, 0, 0, 0.04%, 0, 0, 1, 730.33
1669814210, 119, 7, 9, 0, 0, 0.04%, 0, 0, 1, 678.49
1669814215, 121, 2, 9, 0, 0, 0.04%, 0, 0, 1, 685.99
1669814220, 123, 2, 9, 0, 0, 0.04%, 0, 0, 1, 820.43
1669814225, 124, 8, 9, 0, 0, 0.04%, 0, 0, 1, 807.96
1669814230, 126, 5, 9, 0, 0, 0.04%, 0, 0, 1, 766.02
1669814235, 128, 1, 9, 0, 0, 0.04%, 0, 0, 1, 740.66
1669814240, 130, 0, 9, 0, 0, 0.04%, 0, 0, 1, 814.37
1669814245, 132, 0, 9, 0, 0, 0.04%, 0, 0, 1, 863.59
1669814251, 133, 8, 9, 0, 0, 0.04%, 0, 0, 1, 873.52
1669814256, 135, 8, 9, 0, 0, 0.04%, 0, 0, 1, 878.85
1669814261, 137, 8, 9, 0, 0, 0.04%, 0, 0, 1, 880.71
1669814266, 139, 7, 9, 0, 0, 0.04%, 0, 0, 1, 871.21
1669814271, 141, 6, 9, 0, 0, 0.04%, 0, 0, 1, 866.24
1669814276, 143, 5, 9, 0, 0, 0.04%, 0, 0, 1, 847.11
1669814281, 145, 4, 9, 0, 0, 0.04%, 0, 0, 1, 826.19
1669814286, 147, 1, 9, 0, 0, 0.04%, 0, 0, 1, 804.56
1669814291, 148, 7, 9, 0, 0, 0.04%, 0, 0, 1, 764.00
1669814296, 150, 4, 9, 0, 0, 0.04%, 0, 0, 1, 770.20
1669814301, 152, 1, 9, 0, 0, 0.04%, 0, 0, 1, 790.71
1669814306, 154, 0, 9, 0, 0, 0.04%, 0, 0, 1, 837.98
1669814312, 155, 6, 9, 0, 0, 0.04%, 0, 0, 1, 765.31
1669814317, 157, 4, 9, 0, 0, 0.04%, 0, 0, 1, 823.12
1669814322, 159, 3, 9, 0, 0, 0.04%, 0, 0, 1, 856.35
1669814327, 161, 2, 9, 0, 0, 0.04%, 0, 0, 1, 846.73
1669814332, 162, 8, 9, 0, 0, 0.04%, 0, 0, 1, 804.85
1669814337, 164, 8, 9, 0, 0, 0.04%, 0, 0, 1, 836.48
1669814342, 166, 6, 9, 0, 0, 0.04%, 0, 0, 1, 830.07
1669814347, 168, 2, 9, 0, 0, 0.04%, 0, 0, 1, 769.44
1669814352, 169, 8, 9, 0, 0, 0.04%, 0, 0, 1, 739.96
1669814357, 171, 3, 9, 0, 0, 0.04%, 0, 0, 1, 648.44
1669814362, 172, 6, 9, 0, 0, 0.04%, 0, 0, 1, 624.13
1669814367, 174, 0, 9, 0, 0, 0.04%, 0, 0, 1, 612.67
1669814372, 175, 3, 9, 0, 0, 0.04%, 0, 0, 1, 590.23
1669814377, 176, 4, 9, 0, 0, 0.04%, 0, 0, 1, 551.38
1669814383, 177, 6, 9, 0, 0, 0.04%, 0, 0, 1, 524.02
1669814388, 178, 7, 9, 0, 0, 0.04%, 0, 0, 1, 494.58
1669814393, 179, 7, 9, 0, 0, 0.04%, 0, 0, 1, 482.21
1669814398, 181, 4, 9, 0, 0, 0.04%, 0, 0, 1, 727.36
1669814403, 183, 4, 9, 0, 0, 0.04%, 0, 0, 1, 830.14
1669814408, 185, 0, 9, 0, 0, 0.04%, 0, 0, 1, 734.24
1669814413, 186, 0, 9, 0, 0, 0.04%, 0, 0, 1, 489.44
1669814418, 186, 7, 9, 0, 0, 0.04%, 0, 0, 1, 395.12
1669814424, 187, 7, 9, 0, 0, 0.04%, 0, 0, 1, 442.49
1669814429, 188, 8, 9, 0, 0, 0.04%, 0, 0, 1, 490.26
1669814434, 189, 8, 9, 0, 0, 0.04%, 0, 0, 1, 471.67
1669814439, 191, 1, 9, 0, 0, 0.04%, 0, 0, 1, 559.18
1669814444, 192, 4, 9, 0, 0, 0.04%, 0, 0, 1, 581.63
1669814449, 194, 2, 9, 0, 0, 0.04%, 0, 0, 1, 788.02
1669814454, 196, 1, 9, 0, 0, 0.04%, 0, 0, 1, 848.16
1669814459, 197, 6, 9, 0, 0, 0.04%, 0, 0, 1, 743.24
1669814464, 199, 3, 9, 0, 0, 0.04%, 0, 0, 1, 751.38
1669814469, 200, 8, 9, 0, 0, 0.04%, 0, 0, 1, 676.81
1669814475, 202, 5, 9, 0, 0, 0.04%, 0, 0, 1, 734.18
1669814480, 204, 2, 9, 0, 0, 0.04%, 0, 0, 1, 762.44
1669814485, 206, 0, 9, 0, 0, 0.04%, 0, 0, 1, 775.79
1669814490, 207, 6, 9, 0, 0, 0.04%, 0, 0, 1, 744.93
1669814495, 209, 4, 9, 0, 0, 0.04%, 0, 0, 1, 819.11
1669814500, 211, 3, 9, 0, 0, 0.04%, 0, 0, 1, 825.48
1669814505, 213, 1, 9, 0, 0, 0.04%, 0, 0, 1, 831.04
1669814510, 215, 0, 9, 0, 0, 0.04%, 0, 0, 1, 842.45
1669814515, 216, 8, 9, 0, 0, 0.04%, 0, 0, 1, 826.04
1669814521, 218, 6, 9, 0, 0, 0.04%, 0, 0, 1, 816.00
1669814526, 220, 5, 9, 0, 0, 0.04%, 0, 0, 1, 822.15
1669814531, 222, 3, 9, 0, 0, 0.04%, 0, 0, 1, 816.06
1669814536, 224, 2, 9, 0, 0, 0.04%, 0, 0, 1, 836.43
1669814541, 226, 0, 9, 0, 0, 0.04%, 0, 0, 1, 836.57
1669814546, 227, 8, 9, 0, 0, 0.04%, 0, 0, 1, 834.29
1669814551, 229, 7, 9, 0, 0, 0.04%, 0, 0, 1, 856.96
1669814556, 231, 6, 9, 0, 0, 0.04%, 0, 0, 1, 864.60
1669814562, 233, 5, 9, 0, 0, 0.04%, 0, 0, 1, 866.87
1669814567, 235, 5, 9, 0, 0, 0.04%, 0, 0, 1, 867.86
1669814572, 237, 4, 9, 0, 0, 0.04%, 0, 0, 1, 866.37
1669814577, 239, 2, 9, 0, 0, 0.04%, 0, 0, 1, 844.19
1669814582, 241, 2, 9, 0, 0, 0.04%, 0, 0, 1, 863.45
1669814587, 243, 1, 9, 0, 0, 0.04%, 0, 0, 1, 869.38
1669814592, 245, 0, 9, 0, 0, 0.04%, 0, 0, 1, 869.32
1669814597, 247, 0, 9, 0, 0, 0.04%, 0, 0, 1, 863.90
1669814602, 248, 8, 9, 0, 0, 0.04%, 0, 0, 1, 867.66
1669814607, 250, 7, 9, 0, 0, 0.04%, 0, 0, 1, 867.86
1669814613, 252, 7, 9, 0, 0, 0.04%, 0, 0, 1, 869.97
1669814618, 254, 6, 9, 0, 0, 0.04%, 0, 0, 1, 868.46
1669814623, 256, 5, 9, 0, 0, 0.04%, 0, 0, 1, 861.22
1669814628, 258, 4, 9, 0, 0, 0.04%, 0, 0, 1, 852.63
1669814633, 260, 3, 9, 0, 0, 0.04%, 0, 0, 1, 852.45
1669814638, 262, 2, 9, 0, 0, 0.04%, 0, 0, 1, 860.25
1669814643, 264, 0, 9, 0, 0, 0.04%, 0, 0, 1, 750.55
1669814648, 265, 3, 9, 0, 0, 0.04%, 0, 0, 1, 707.66
1669814653, 267, 1, 9, 0, 0, 0.04%, 0, 0, 1, 807.82
1669814658, 268, 6, 9, 0, 0, 0.04%, 0, 0, 1, 654.96
1669814664, 269, 7, 9, 0, 0, 0.04%, 0, 0, 1, 548.35
1669814669, 271, 1, 9, 0, 0, 0.04%, 0, 0, 1, 651.75
1669814674, 273, 1, 9, 0, 0, 0.04%, 0, 0, 1, 807.90
1669814679, 275, 0, 9, 0, 0, 0.04%, 0, 0, 1, 850.54
1669814684, 276, 8, 9, 0, 0, 0.04%, 0, 0, 1, 861.82
1669814689, 278, 7, 9, 0, 0, 0.04%, 0, 0, 1, 868.53
1669814694, 280, 6, 9, 0, 0, 0.04%, 0, 0, 1, 868.07
1669814699, 282, 6, 9, 0, 0, 0.04%, 0, 0, 1, 858.72
1669814705, 284, 2, 9, 0, 0, 0.04%, 0, 0, 1, 745.94
1669814710, 285, 8, 9, 0, 0, 0.04%, 0, 0, 1, 792.09
1669814715, 287, 6, 9, 0, 0, 0.04%, 0, 0, 1, 833.08
1669814720, 289, 4, 9, 0, 0, 0.04%, 0, 0, 1, 798.18
1669814725, 291, 2, 9, 0, 0, 0.04%, 0, 0, 1, 829.76
1669814730, 293, 2, 9, 0, 0, 0.04%, 0, 0, 1, 848.35
1669814735, 295, 1, 9, 0, 0, 0.04%, 0, 0, 1, 846.43
1669814740, 296, 8, 9, 0, 0, 0.04%, 0, 0, 1, 850.41
1669814745, 298, 7, 9, 0, 0, 0.04%, 0, 0, 1, 856.51
1669814750, 300, 7, 9, 0, 0, 0.04%, 0, 0, 1, 860.58
1669814755, 302, 6, 9, 0, 0, 0.04%, 0, 0, 1, 862.28
1669814760, 304, 5, 9, 0, 0, 0.04%, 0, 0, 1, 860.76
1669814765, 306, 3, 9, 0, 0, 0.04%, 0, 0, 1, 819.55
1669814771, 308, 2, 9, 0, 0, 0.04%, 0, 0, 1, 841.79
1669814776, 310, 0, 9, 0, 0, 0.04%, 0, 0, 1, 816.67
1669814781, 311, 6, 9, 0, 0, 0.04%, 0, 0, 1, 783.24
1669814786, 313, 4, 9, 0, 0, 0.04%, 0, 0, 1, 782.22
1669814791, 315, 3, 9, 0, 0, 0.04%, 0, 0, 1, 825.45
1669814796, 317, 0, 9, 0, 0, 0.04%, 0, 0, 1, 777.64
1669814801, 318, 5, 9, 0, 0, 0.04%, 0, 0, 1, 701.00
1669814806, 320, 0, 9, 0, 0, 0.04%, 0, 0, 1, 661.51
1669814811, 321, 5, 9, 0, 0, 0.04%, 0, 0, 1, 721.14
1669814816, 323, 3, 9, 0, 0, 0.04%, 0, 0, 1, 780.41
1669814821, 324, 8, 9, 0, 0, 0.04%, 0, 0, 1, 780.51
1669814826, 326, 6, 9, 0, 0, 0.04%, 0, 0, 1, 757.42
1669814831, 328, 3, 9, 0, 0, 0.04%, 0, 0, 1, 747.44
1669814837, 330, 2, 9, 0, 0, 0.04%, 0, 0, 1, 834.02
1669814842, 332, 1, 9, 0, 0, 0.04%, 0, 0, 1, 854.35
1669814847, 334, 0, 9, 0, 0, 0.04%, 0, 0, 1, 856.50
1669814852, 335, 8, 9, 0, 0, 0.04%, 0, 0, 1, 856.86
1669814857, 337, 7, 9, 0, 0, 0.04%, 0, 0, 1, 860.29
1669814862, 339, 6, 9, 0, 0, 0.04%, 0, 0, 1, 866.25
1669814867, 341, 6, 9, 0, 0, 0.04%, 0, 0, 1, 871.26
1669814872, 343, 5, 9, 0, 0, 0.04%, 0, 0, 1, 870.67
1669814877, 344, 7, 9, 0, 0, 0.04%, 0, 0, 1, 565.10
1669814882, 346, 1, 9, 0, 0, 0.04%, 0, 0, 1, 624.82
1669814888, 347, 7, 9, 0, 0, 0.04%, 0, 0, 1, 679.11
1669814893, 349, 2, 9, 0, 0, 0.04%, 0, 0, 1, 699.13
1669814898, 350, 6, 9, 0, 0, 0.04%, 0, 0, 1, 649.13
1669814903, 352, 3, 9, 0, 0, 0.04%, 0, 0, 1, 707.87
1669814908, 353, 5, 9, 0, 0, 0.04%, 0, 0, 1, 568.26
1669814913, 354, 7, 9, 0, 0, 0.04%, 0, 0, 1, 550.28
1669814918, 355, 8, 9, 0, 0, 0.04%, 0, 0, 1, 539.86
1669814923, 357, 0, 9, 0, 0, 0.04%, 0, 0, 1, 484.28
1669814928, 358, 1, 9, 0, 0, 0.04%, 0, 0, 1, 512.20
1669814933, 359, 3, 9, 0, 0, 0.04%, 0, 0, 1, 530.35
1669814938, 360, 4, 9, 0, 0, 0.04%, 0, 0, 1, 539.41
1669814943, 361, 6, 9, 0, 0, 0.04%, 0, 0, 1, 535.98
1669814948, 362, 8, 9, 0, 0, 0.04%, 0, 0, 1, 540.02
1669814954, 364, 1, 9, 0, 0, 0.04%, 0, 0, 1, 541.89
1669814959, 365, 2, 9, 0, 0, 0.04%, 0, 0, 1, 545.45
1669814964, 366, 4, 9, 0, 0, 0.04%, 0, 0, 1, 543.29
1669814969, 367, 6, 9, 0, 0, 0.04%, 0, 0, 1, 539.75
1669814974, 368, 8, 9, 0, 0, 0.04%, 0, 0, 1, 546.74
1669814979, 370, 1, 9, 0, 0, 0.04%, 0, 0, 1, 547.09
1669814984, 371, 3, 9, 0, 0, 0.04%, 0, 0, 1, 544.43
1669814990, 372, 5, 9, 0, 0, 0.04%, 0, 0, 1, 548.88
1669814995, 373, 7, 9, 0, 0, 0.04%, 0, 0, 1, 546.61
1669815000, 374, 8, 9, 0, 0, 0.04%, 0, 0, 1, 543.13
1669815005, 376, 0, 9, 0, 0, 0.04%, 0, 0, 1, 484.84
1669815010, 376, 8, 9, 0, 0, 0.04%, 0, 0, 1, 439.79
1669815015, 378, 0, 9, 0, 0, 0.04%, 0, 0, 1, 476.26
1669815020, 379, 1, 9, 0, 0, 0.04%, 0, 0, 1, 493.91
1669815025, 380, 2, 9, 0, 0, 0.04%, 0, 0, 1, 493.38
1669815030, 381, 3, 9, 0, 0, 0.04%, 0, 0, 1, 498.53
1669815035, 382, 3, 9, 0, 0, 0.04%, 0, 0, 1, 495.91
1669815040, 383, 4, 9, 0, 0, 0.04%, 0, 0, 1, 497.77
1669815045, 384, 5, 9, 0, 0, 0.04%, 0, 0, 1, 497.03
1669815050, 385, 6, 9, 0, 0, 0.04%, 0, 0, 1, 497.63
1669815055, 386, 7, 9, 0, 0, 0.04%, 0, 0, 1, 500.06
1669815061, 387, 7, 9, 0, 0, 0.04%, 0, 0, 1, 468.68
1669815066, 388, 8, 9, 0, 0, 0.04%, 0, 0, 1, 493.46
1669815071, 390, 0, 9, 0, 0, 0.04%, 0, 0, 1, 466.44
1669815076, 391, 0, 9, 0, 0, 0.04%, 0, 0, 1, 484.64
1669815081, 392, 2, 9, 0, 0, 0.04%, 0, 0, 1, 501.85
1669815086, 393, 2, 9, 0, 0, 0.04%, 0, 0, 1, 502.14
1669815091, 394, 3, 9, 0, 0, 0.04%, 0, 0, 1, 496.67
1669815096, 395, 4, 9, 0, 0, 0.04%, 0, 0, 1, 492.38
1669815102, 396, 4, 9, 0, 0, 0.04%, 0, 0, 1, 452.73
1669815107, 397, 5, 9, 0, 0, 0.04%, 0, 0, 1, 460.93
1669815112, 398, 5, 9, 0, 0, 0.04%, 0, 0, 1, 493.05
1669815117, 399, 6, 9, 0, 0, 0.04%, 0, 0, 1, 500.21
1669815122, 400, 7, 9, 0, 0, 0.04%, 0, 0, 1, 485.07
1669815127, 401, 7, 9, 0, 0, 0.04%, 0, 0, 1, 446.64
1669815132, 402, 7, 9, 0, 0, 0.04%, 0, 0, 1, 467.85
1669815137, 403, 8, 9, 0, 0, 0.04%, 0, 0, 1, 499.00
1669815142, 405, 0, 9, 0, 0, 0.04%, 0, 0, 1, 503.14
1669815147, 406, 1, 9, 0, 0, 0.04%, 0, 0, 1, 503.76
1669815152, 407, 2, 9, 0, 0, 0.04%, 0, 0, 1, 504.27
1669815157, 408, 3, 9, 0, 0, 0.04%, 0, 0, 1, 530.22
1669815163, 410, 0, 9, 0, 0, 0.04%, 0, 0, 1, 700.43
1669815168, 411, 5, 9, 0, 0, 0.04%, 0, 0, 1, 727.56
1669815173, 413, 3, 9, 0, 0, 0.04%, 0, 0, 1, 773.73
1669815178, 415, 0, 9, 0, 0, 0.04%, 0, 0, 1, 775.69
1669815183, 416, 7, 9, 0, 0, 0.04%, 0, 0, 1, 773.34
1669815188, 418, 1, 9, 0, 0, 0.04%, 0, 0, 1, 664.41
1669815193, 419, 5, 9, 0, 0, 0.04%, 0, 0, 1, 625.96
1669815198, 421, 1, 9, 0, 0, 0.04%, 0, 0, 1, 686.88
1669815203, 422, 7, 9, 0, 0, 0.04%, 0, 0, 1, 734.19
1669815208, 424, 4, 9, 0, 0, 0.04%, 0, 0, 1, 784.28
1669815213, 426, 2, 9, 0, 0, 0.04%, 0, 0, 1, 795.54
1669815218, 427, 8, 9, 0, 0, 0.04%, 0, 0, 1, 792.58
1669815223, 429, 4, 9, 0, 0, 0.04%, 0, 0, 1, 703.85
1669815228, 431, 2, 9, 0, 0, 0.04%, 0, 0, 1, 759.22
1669815233, 432, 8, 9, 0, 0, 0.04%, 0, 0, 1, 787.21
1669815239, 434, 5, 9, 0, 0, 0.04%, 0, 0, 1, 777.80
1669815244, 436, 3, 9, 0, 0, 0.04%, 0, 0, 1, 780.56
1669815249, 438, 0, 9, 0, 0, 0.04%, 0, 0, 1, 778.05
1669815254, 439, 7, 9, 0, 0, 0.04%, 0, 0, 1, 783.65
1669815259, 441, 4, 9, 0, 0, 0.04%, 0, 0, 1, 785.51
1669815264, 443, 2, 9, 0, 0, 0.04%, 0, 0, 1, 783.53
1669815269, 444, 8, 9, 0, 0, 0.04%, 0, 0, 1, 785.90
1669815274, 446, 6, 9, 0, 0, 0.04%, 0, 0, 1, 784.72
1669815279, 448, 3, 9, 0, 0, 0.04%, 0, 0, 1, 775.14
1669815284, 450, 0, 9, 0, 0, 0.04%, 0, 0, 1, 767.34
1669815289, 451, 6, 9, 0, 0, 0.04%, 0, 0, 1, 751.62
1669815294, 453, 3, 9, 0, 0, 0.04%, 0, 0, 1, 783.39
1669815299, 455, 1, 9, 0, 0, 0.04%, 0, 0, 1, 794.11
1669815304, 456, 7, 9, 0, 0, 0.04%, 0, 0, 1, 795.26
1669815309, 458, 5, 9, 0, 0, 0.04%, 0, 0, 1, 798.25
1669815314, 460, 2, 9, 0, 0, 0.04%, 0, 0, 1, 790.05
1669815319, 462, 1, 9, 0, 0, 0.04%, 0, 0, 1, 793.48
1669815324, 463, 7, 9, 0, 0, 0.04%, 0, 0, 1, 790.08
1669815329, 465, 4, 9, 0, 0, 0.04%, 0, 0, 1, 781.03
1669815334, 467, 2, 9, 0, 0, 0.04%, 0, 0, 1, 784.12
1669815339, 468, 8, 9, 0, 0, 0.04%, 0, 0, 1, 784.56
1669815344, 470, 6, 9, 0, 0, 0.04%, 0, 0, 1, 785.25
1669815349, 472, 3, 9, 0, 0, 0.04%, 0, 0, 1, 783.40
1669815354, 474, 0, 9, 0, 0, 0.04%, 0, 0, 1, 787.97
1669815360, 475, 7, 9, 0, 0, 0.04%, 0, 0, 1, 789.86
1669815365, 477, 5, 9, 0, 0, 0.04%, 0, 0, 1, 784.98
1669815370, 479, 2, 9, 0, 0, 0.04%, 0, 0, 1, 782.80
1669815375, 481, 0, 9, 0, 0, 0.04%, 0, 0, 1, 791.07
1669815380, 482, 7, 9, 0, 0, 0.04%, 0, 0, 1, 794.47
1669815385, 484, 4, 9, 0, 0, 0.04%, 0, 0, 1, 793.93
1669815390, 486, 2, 9, 0, 0, 0.04%, 0, 0, 1, 787.48
1669815395, 487, 8, 9, 0, 0, 0.04%, 0, 0, 1, 786.88
1669815400, 489, 6, 9, 0, 0, 0.04%, 0, 0, 1, 793.33
1669815405, 491, 3, 9, 0, 0, 0.04%, 0, 0, 1, 792.30
1669815410, 493, 1, 9, 0, 0, 0.04%, 0, 0, 1, 783.10
1669815415, 494, 7, 9, 0, 0, 0.04%, 0, 0, 1, 784.88
1669815420, 496, 5, 9, 0, 0, 0.04%, 0, 0, 1, 782.04
