# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669819680, 0, 0, 7, 7, 5, 7.58%, 0, 0, 1, 53.74
1669819685, 0, 1, 8, 8, 5, 7.59%, 0, 0, 2, 103.81
1669819700, 0, 1, 15, 15, 5, 7.62%, 0, 0, 2, 118.19
1669819705, 0, 1, 25, 25, 5, 7.62%, 0, 0, 2, 122.52
1669819721, 0, 1, 39, 39, 5, 7.68%, 0, 0, 2, 91.91
1669819726, 0, 1, 50, 50, 5, 7.68%, 0, 0, 2, 93.66
1669819731, 0, 1, 55, 55, 5, 7.68%, 0, 0, 2, 113.94
1669819736, 0, 1, 56, 56, 5, 7.68%, 0, 0, 2, 137.45
1669819741, 0, 1, 59, 59, 5, 7.68%, 0, 0, 2, 122.39
1669819747, 0, 1, 62, 62, 5, 7.68%, 0, 0, 2, 130.20
1669819752, 0, 1, 65, 65, 5, 7.68%, 0, 0, 2, 122.79
1669819757, 0, 1, 68, 68, 5, 7.68%, 0, 0, 2, 133.52
1669819762, 0, 1, 72, 72, 5, 7.68%, 0, 0, 2, 124.36
1669819767, 0, 1, 76, 76, 5, 7.68%, 0, 0, 2, 134.10
1669819772, 0, 1, 78, 78, 5, 7.68%, 0, 0, 2, 135.65
1669819777, 0, 1, 80, 80, 5, 7.68%, 0, 0, 2, 141.83
1669819782, 0, 1, 85, 85, 5, 7.68%, 0, 0, 2, 129.23
1669819787, 0, 1, 87, 87, 5, 7.68%, 0, 0, 2, 125.93
1669819792, 0, 1, 89, 89, 5, 7.68%, 0, 0, 2, 126.34
1669819798, 0, 1, 93, 93, 5, 7.68%, 0, 0, 2, 151.15
1669819803, 0, 1, 96, 96, 5, 7.68%, 0, 0, 2, 120.77
1669819813, 0, 1, 98, 98, 5, 7.68%, 0, 0, 2, 143.56
1669819818, 0, 1, 100, 100, 5, 7.68%, 0, 0, 2, 133.74
1669819828, 0, 1, 103, 103, 5, 7.68%, 0, 0, 2, 136.20
1669819833, 0, 1, 104, 104, 5, 7.68%, 0, 0, 2, 143.03
1669819844, 0, 1, 106, 106, 5, 7.68%, 0, 0, 2, 138.63
1669819854, 0, 7, 106, 105, 18, 7.68%, 0, 0, 2, 148.30
1669819890, 0, 8, 106, 104, 17, 7.68%, 0, 0, 2, 187.84
1669819895, 0, 19, 106, 103, 16, 7.68%, 0, 0, 2, 151.32
1669819926, 0, 30, 106, 102, 15, 7.68%, 0, 0, 2, 146.37
1669819972, 0, 30, 107, 103, 15, 7.68%, 0, 0, 3, 141.79
1669819977, 0, 30, 108, 104, 15, 7.68%, 0, 0, 3, 134.15
1669819982, 0, 30, 109, 105, 15, 7.68%, 0, 0, 3, 126.39
1669819987, 0, 30, 110, 106, 15, 7.68%, 0, 0, 3, 142.72
1669819997, 0, 30, 113, 109, 15, 7.68%, 0, 0, 3, 133.00
1669820002, 0, 30, 114, 110, 15, 7.68%, 0, 0, 3, 140.43
1669820007, 0, 30, 115, 111, 15, 7.68%, 0, 0, 3, 134.66
1669820018, 0, 30, 116, 112, 15, 7.68%, 0, 0, 3, 146.08
1669820023, 0, 30, 117, 113, 15, 7.68%, 0, 0, 3, 136.95
