# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669625107, 0, 0, 12, 12, 12, 11.08%, 0, 0, 1, 240.60
1669625112, 0, 0, 31, 31, 12, 11.47%, 0, 0, 2, 410.69
1669625117, 0, 0, 117, 117, 12, 12.00%, 0, 0, 2, 415.17
1669625122, 0, 0, 184, 184, 12, 12.26%, 0, 0, 2, 367.70
1669625127, 0, 0, 211, 211, 12, 12.43%, 0, 0, 2, 413.56
1669625132, 0, 0, 263, 263, 12, 12.51%, 0, 0, 2, 373.67
1669625138, 0, 0, 286, 286, 12, 12.54%, 0, 0, 2, 402.74
1669625143, 0, 0, 293, 293, 12, 12.56%, 0, 0, 2, 432.16
1669625284, 0, 0, 294, 294, 12, 12.56%, 0, 0, 2, 459.50
1669625289, 0, 0, 337, 337, 12, 12.80%, 0, 0, 2, 418.25
1669625406, 0, 0, 343, 343, 12, 12.82%, 0, 0, 2, 449.66
1669625411, 0, 0, 362, 362, 12, 12.85%, 0, 0, 2, 472.83
1669625416, 0, 0, 393, 393, 12, 12.89%, 0, 0, 2, 438.08
1669625421, 0, 0, 413, 413, 12, 12.92%, 0, 0, 2, 442.69
1669625426, 0, 0, 437, 437, 12, 12.93%, 0, 0, 2, 412.85
1669625431, 0, 0, 444, 444, 12, 12.93%, 0, 0, 2, 441.46
1669625436, 0, 0, 448, 448, 12, 12.93%, 0, 0, 2, 456.61
1669625573, 0, 0, 449, 449, 12, 12.94%, 0, 0, 2, 461.50
1669625578, 0, 0, 461, 461, 12, 13.00%, 0, 0, 2, 438.64
1669625699, 0, 0, 471, 471, 12, 13.00%, 0, 0, 2, 474.87
1669625705, 0, 0, 483, 483, 12, 13.01%, 0, 0, 2, 450.28
1669625710, 0, 0, 487, 487, 12, 13.04%, 0, 0, 2, 441.84
1669625715, 0, 0, 512, 512, 12, 13.06%, 0, 0, 2, 424.83
1669625720, 0, 0, 519, 519, 12, 13.06%, 0, 0, 2, 444.67
