# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669712022, 0, 0, 1, 1, 1, 1.56%, 0, 0, 1, 0.00
1669712027, 0, 0, 78, 78, 1, 2.10%, 0, 0, 2, 2167.15
1669712540, 0, 0, 112, 112, 1, 2.30%, 0, 0, 2, 1970.63
1669712545, 0, 0, 185, 185, 1, 2.49%, 0, 0, 2, 2011.89
1669712550, 0, 0, 230, 230, 1, 2.62%, 0, 0, 2, 1934.60
1669712555, 0, 0, 232, 232, 1, 2.62%, 0, 0, 2, 2052.82
1669713060, 0, 0, 238, 238, 1, 2.65%, 0, 0, 2, 2082.45
1669713066, 0, 0, 242, 242, 1, 3.08%, 0, 0, 2, 2017.46
1669713071, 0, 0, 255, 255, 1, 3.09%, 0, 0, 2, 2065.65
1669713582, 0, 0, 258, 258, 1, 3.10%, 0, 0, 2, 2106.49
1669713587, 0, 0, 261, 261, 1, 3.10%, 0, 0, 2, 2034.78
1669713653, 0, 0, 263, 263, 1, 3.10%, 0, 0, 2, 2084.56
1669713658, 0, 0, 289, 289, 1, 3.13%, 0, 0, 2, 2062.61
1669713668, 0, 0, 291, 291, 1, 3.13%, 0, 0, 2, 2065.54
1669713673, 0, 0, 294, 294, 1, 3.14%, 0, 0, 2, 2066.03
1669713684, 0, 0, 298, 298, 1, 3.30%, 0, 0, 2, 2072.24
1669713704, 0, 0, 299, 299, 1, 3.30%, 0, 0, 2, 2057.67
1669713719, 0, 0, 307, 307, 1, 3.31%, 0, 0, 2, 2093.49
1669713800, 0, 0, 308, 308, 1, 3.31%, 0, 0, 2, 2085.52
1669713836, 0, 0, 316, 316, 1, 3.32%, 0, 0, 2, 2087.27
1669713841, 0, 0, 319, 319, 1, 3.33%, 0, 0, 2, 2077.58
1669713846, 0, 0, 321, 321, 1, 3.34%, 0, 0, 2, 2067.37
1669713851, 0, 0, 328, 328, 1, 3.37%, 0, 0, 2, 2065.62
1669713856, 0, 0, 329, 329, 1, 3.37%, 0, 0, 2, 2057.36
1669713876, 0, 0, 331, 331, 1, 3.39%, 0, 0, 2, 2013.53
1669713881, 0, 0, 332, 332, 1, 3.39%, 0, 0, 2, 2071.96
1669713887, 0, 0, 333, 333, 1, 3.39%, 0, 0, 2, 2108.25
1669713892, 0, 0, 336, 336, 1, 3.39%, 0, 0, 2, 2103.52
1669713897, 0, 0, 339, 339, 1, 3.39%, 0, 0, 2, 2067.01
1669713917, 0, 0, 353, 353, 1, 3.40%, 0, 0, 2, 2079.67
1669713922, 0, 0, 359, 359, 1, 3.40%, 0, 0, 2, 2052.51
1669713927, 0, 0, 368, 368, 1, 3.40%, 0, 0, 2, 2045.72
1669713932, 0, 2, 371, 370, 141, 3.41%, 0, 0, 2, 2313.37
1669713937, 0, 2, 381, 380, 141, 3.48%, 0, 0, 3, 2584.66
1669713942, 0, 2, 383, 382, 141, 3.48%, 0, 0, 3, 2667.69
1669713947, 0, 4, 383, 380, 147, 3.48%, 0, 0, 3, 2693.41
1669713952, 0, 6, 383, 379, 146, 3.48%, 0, 0, 3, 2679.58
1669713958, 0, 8, 383, 377, 144, 3.48%, 0, 0, 3, 2658.01
1669714473, 0, 8, 387, 381, 144, 3.48%, 0, 0, 3, 2111.13
1669714484, 0, 8, 388, 382, 144, 3.48%, 0, 0, 3, 2111.15
1669715864, 0, 9, 388, 381, 144, 3.48%, 0, 0, 3, 1967.25
