# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669787573, 0, 0, 1, 1, 1, 5.38%, 0, 0, 1, 6.39
1669787579, 0, 0, 9, 9, 1, 5.63%, 0, 0, 2, 6.12
1669787589, 0, 0, 10, 10, 1, 5.70%, 0, 0, 2, 5.97
1669787595, 0, 0, 12, 12, 1, 5.81%, 0, 0, 2, 6.18
1669787610, 0, 0, 14, 14, 1, 5.91%, 0, 0, 2, 6.13
1669787615, 0, 0, 17, 17, 1, 5.92%, 0, 0, 2, 6.10
1669787621, 0, 0, 29, 29, 1, 6.02%, 0, 0, 2, 71.36
1669787632, 0, 0, 30, 30, 1, 6.02%, 0, 0, 2, 6.41
1669787637, 0, 0, 34, 34, 1, 6.02%, 0, 0, 2, 6.38
1669787642, 0, 0, 38, 38, 1, 6.03%, 0, 0, 2, 6.43
1669787647, 0, 0, 44, 44, 1, 6.05%, 0, 0, 2, 20.24
1669787709, 0, 0, 45, 45, 1, 6.05%, 0, 0, 2, 6.32
1669787719, 0, 0, 46, 46, 1, 6.05%, 0, 0, 2, 6.33
1669787791, 0, 0, 47, 47, 1, 6.05%, 0, 0, 2, 6.41
1669787817, 0, 0, 49, 49, 1, 6.05%, 0, 0, 2, 6.30
1669787837, 0, 0, 51, 51, 1, 6.05%, 0, 0, 2, 6.39
1669787842, 0, 0, 53, 53, 1, 6.05%, 0, 0, 2, 6.37
1669787873, 0, 0, 54, 54, 1, 6.05%, 0, 0, 2, 6.36
1669787893, 0, 0, 56, 56, 1, 6.05%, 0, 0, 2, 6.39
1669787929, 0, 0, 57, 57, 1, 6.05%, 0, 0, 2, 6.41
1669787945, 0, 0, 58, 58, 1, 6.05%, 0, 0, 2, 6.30
1669787966, 0, 0, 59, 59, 1, 6.05%, 0, 0, 2, 6.31
1669787971, 0, 0, 60, 60, 1, 6.05%, 0, 0, 2, 6.36
1669788575, 0, 0, 61, 61, 1, 6.05%, 0, 0, 2, 6.30
1669788591, 0, 0, 64, 64, 1, 6.06%, 0, 0, 2, 6.43
1669788596, 0, 0, 68, 68, 1, 6.06%, 0, 0, 2, 6.35
1669788601, 0, 0, 71, 71, 1, 6.06%, 0, 0, 2, 6.38
1669788606, 0, 0, 74, 74, 1, 6.06%, 0, 0, 2, 6.38
1669788616, 0, 0, 75, 75, 1, 6.06%, 0, 0, 2, 6.31
1669788632, 0, 0, 76, 76, 1, 6.06%, 0, 0, 2, 6.38
1669788637, 0, 0, 77, 77, 1, 6.06%, 0, 0, 2, 6.29
