# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669711873, 0, 0, 1, 1, 1, 2.38%, 0, 0, 1, 0.00
1669711878, 0, 0, 91, 91, 1, 3.50%, 0, 0, 2, 421.37
1669711883, 0, 0, 118, 118, 1, 3.77%, 0, 0, 2, 388.33
1669711888, 0, 0, 138, 138, 1, 3.84%, 0, 0, 2, 386.25
1669711893, 0, 0, 163, 163, 1, 4.01%, 0, 0, 2, 389.26
1669711898, 0, 0, 230, 230, 1, 4.24%, 0, 0, 2, 381.08
1669711903, 0, 0, 234, 234, 1, 4.28%, 0, 0, 2, 384.03
1669711908, 0, 0, 237, 237, 1, 4.30%, 0, 0, 2, 388.81
1669711949, 0, 0, 239, 239, 1, 4.30%, 0, 0, 2, 378.54
1669711954, 0, 0, 241, 241, 1, 4.30%, 0, 0, 2, 388.31
1669711959, 0, 0, 242, 242, 1, 4.30%, 0, 0, 2, 387.93
1669711965, 0, 0, 243, 243, 1, 4.30%, 0, 0, 2, 395.75
1669711975, 0, 0, 251, 251, 1, 4.31%, 0, 0, 2, 383.03
1669711980, 0, 0, 284, 284, 1, 4.37%, 0, 0, 2, 378.98
1669711985, 0, 0, 309, 309, 1, 4.40%, 0, 0, 2, 375.27
1669712670, 0, 0, 316, 316, 1, 4.41%, 0, 0, 2, 385.63
1669712675, 0, 0, 324, 324, 1, 4.43%, 0, 0, 2, 387.69
1669712706, 0, 0, 325, 325, 1, 4.43%, 0, 0, 2, 378.91
1669714719, 0, 0, 360, 360, 1, 4.54%, 0, 0, 2, 374.51
1669714724, 0, 0, 395, 395, 1, 4.59%, 0, 0, 2, 383.08
1669714729, 0, 0, 465, 465, 1, 4.80%, 0, 0, 2, 394.52
1669714754, 0, 0, 471, 471, 1, 4.80%, 0, 0, 2, 379.51
1669714759, 0, 0, 481, 481, 1, 4.80%, 0, 0, 2, 371.51
1669714764, 0, 0, 517, 517, 1, 4.94%, 0, 0, 2, 378.00
1669714769, 0, 0, 556, 556, 1, 5.04%, 0, 0, 2, 398.58
1669714774, 0, 0, 601, 601, 1, 5.18%, 0, 0, 2, 379.33
1669714779, 0, 0, 643, 643, 1, 5.25%, 0, 0, 2, 384.12
1669714784, 0, 0, 650, 650, 1, 5.27%, 0, 0, 2, 381.91
1669714789, 0, 0, 656, 656, 1, 5.28%, 0, 0, 2, 380.51
1669714794, 0, 0, 661, 661, 1, 5.28%, 0, 0, 2, 374.78
1669714799, 0, 0, 671, 671, 1, 5.30%, 0, 0, 2, 376.58
1669714805, 0, 0, 709, 709, 1, 5.46%, 0, 0, 2, 441.48
1669714810, 0, 0, 733, 733, 1, 5.53%, 0, 0, 2, 396.23
1669714815, 0, 0, 739, 739, 1, 5.53%, 0, 0, 2, 382.18
1669714825, 0, 0, 754, 754, 1, 5.56%, 0, 0, 2, 371.89
1669714830, 0, 0, 758, 758, 1, 5.56%, 0, 0, 2, 379.46
1669714855, 0, 0, 759, 759, 1, 5.56%, 0, 0, 2, 386.72
1669714906, 0, 0, 760, 760, 1, 5.56%, 0, 0, 2, 386.60
1669714911, 0, 0, 764, 764, 1, 5.56%, 0, 0, 2, 374.19
