# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669712145, 0, 0, 1, 1, 1, 1.40%, 0, 0, 1, 0.00
1669712150, 0, 0, 78, 78, 1, 2.03%, 0, 0, 2, 1993.75
1669712662, 0, 0, 179, 179, 1, 2.41%, 0, 0, 2, 2143.23
1669712667, 0, 0, 229, 229, 1, 2.57%, 0, 0, 2, 2096.81
1669712673, 0, 0, 233, 233, 1, 2.58%, 0, 0, 2, 2183.11
1669713169, 0, 0, 242, 242, 1, 2.70%, 0, 0, 2, 2120.87
1669713174, 0, 0, 258, 258, 1, 2.72%, 0, 0, 2, 2135.66
1669713676, 0, 0, 260, 260, 1, 2.72%, 0, 0, 2, 2042.14
1669713681, 0, 0, 263, 263, 1, 2.73%, 0, 0, 2, 2106.48
1669713747, 0, 0, 266, 266, 1, 2.73%, 0, 0, 2, 2110.53
1669713752, 0, 0, 291, 291, 1, 3.10%, 0, 0, 2, 2159.62
1669713757, 0, 0, 293, 293, 1, 3.11%, 0, 0, 2, 2144.14
1669713767, 0, 0, 296, 296, 1, 3.12%, 0, 0, 2, 2089.13
1669713772, 0, 0, 299, 299, 1, 3.18%, 0, 0, 2, 2101.83
1669713777, 0, 0, 300, 300, 1, 3.18%, 0, 0, 2, 2051.91
1669713798, 0, 0, 301, 301, 1, 3.18%, 0, 0, 2, 2079.69
1669713808, 0, 0, 303, 303, 1, 3.18%, 0, 0, 2, 2047.03
1669713813, 0, 0, 309, 309, 1, 3.18%, 0, 0, 2, 2114.34
1669713889, 0, 0, 310, 310, 1, 3.18%, 0, 0, 2, 2052.43
1669713925, 0, 0, 314, 314, 1, 3.19%, 0, 0, 2, 2092.91
1669713930, 0, 0, 321, 321, 1, 3.21%, 0, 0, 2, 2140.08
1669713935, 0, 0, 323, 323, 1, 3.22%, 0, 0, 2, 2073.27
1669713940, 0, 0, 331, 331, 1, 3.26%, 0, 0, 2, 2152.26
1669713945, 0, 0, 332, 332, 1, 3.26%, 0, 0, 2, 2136.58
1669713965, 0, 0, 335, 335, 1, 3.28%, 0, 0, 2, 2046.65
1669713971, 0, 0, 336, 336, 1, 3.28%, 0, 0, 2, 2101.33
1669713976, 0, 0, 337, 337, 1, 3.28%, 0, 0, 2, 2150.83
1669713981, 0, 0, 340, 340, 1, 3.28%, 0, 0, 2, 2105.88
1669713986, 0, 0, 343, 343, 1, 3.28%, 0, 0, 2, 2081.74
1669714006, 0, 0, 364, 364, 1, 3.29%, 0, 0, 2, 2074.95
1669714011, 0, 0, 375, 375, 1, 3.29%, 0, 0, 2, 2044.04
1669714016, 0, 0, 377, 377, 1, 3.29%, 0, 0, 2, 2029.37
1669714021, 0, 1, 381, 380, 142, 3.30%, 0, 0, 2, 2364.99
1669714027, 0, 1, 392, 391, 142, 3.38%, 0, 0, 3, 2612.77
1669714032, 0, 1, 397, 396, 142, 3.42%, 0, 0, 3, 2650.57
1669714037, 0, 3, 397, 394, 151, 3.42%, 0, 0, 3, 2655.64
1669714042, 0, 4, 397, 393, 150, 3.42%, 0, 0, 3, 2621.44
1669714047, 0, 6, 400, 395, 149, 3.44%, 0, 0, 3, 2700.14
1669714052, 0, 6, 403, 398, 149, 3.44%, 0, 0, 3, 2657.84
1669714057, 0, 8, 403, 397, 152, 3.44%, 0, 0, 3, 2450.02
1669714558, 0, 8, 407, 401, 152, 3.44%, 0, 0, 3, 2089.97
1669714563, 0, 8, 408, 402, 152, 3.45%, 0, 0, 3, 2062.25
1669715921, 0, 9, 408, 401, 151, 3.45%, 0, 0, 3, 2070.05
