# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669866243, 0, 0, 5, 5, 1, 0.15%, 0, 0, 1, 363.64
1669866248, 0, 4, 9, 9, 1, 0.17%, 0, 0, 2, 649.61
1669866269, 0, 5, 9, 8, 4, 0.17%, 0, 0, 2, 841.55
1669866274, 0, 6, 9, 7, 3, 0.17%, 0, 0, 2, 702.55
1669866299, 0, 7, 9, 6, 2, 0.17%, 0, 0, 2, 829.69
1669866325, 0, 8, 9, 5, 1, 0.17%, 0, 0, 2, 940.39
1669866340, 1, 0, 9, 4, 0, 0.17%, 0, 0, 2, 1041.68
1669866417, 1, 1, 9, 3, 0, 0.17%, 0, 0, 2, 1002.79
1669866462, 1, 1, 10, 4, 0, 0.19%, 0, 0, 2, 961.64
1669866503, 1, 9, 10, 3, 1, 0.19%, 0, 0, 2, 981.08
1669866529, 1, 9, 11, 4, 1, 0.19%, 0, 0, 3, 946.23
1669866589, 1, 10, 11, 3, 1, 0.19%, 0, 0, 3, 1063.73
1669866675, 2, 2, 11, 2, 0, 0.19%, 0, 0, 3, 1041.06
1669866767, 3, 3, 11, 1, 0, 0.19%, 0, 0, 3, 1056.31
1669866807, 3, 8, 11, 0, 0, 0.19%, 0, 0, 3, 1069.15
1669866812, 4, 9, 11, 0, 0, 0.19%, 0, 0, 3, 1070.97
1669866817, 5, 9, 11, 0, 0, 0.19%, 0, 0, 3, 686.95
1669866822, 6, 9, 11, 0, 0, 0.19%, 0, 0, 3, 726.88
1669866828, 8, 11, 12, 1, 1, 0.20%, 0, 0, 3, 966.27
1669866833, 8, 11, 17, 6, 1, 0.20%, 0, 0, 3, 1047.91
1669866853, 8, 11, 19, 8, 1, 0.20%, 0, 0, 3, 818.29
1669866919, 8, 11, 20, 9, 1, 0.20%, 0, 0, 3, 1000.52
1669866924, 8, 19, 20, 8, 1, 0.20%, 0, 0, 3, 1061.18
1669867015, 9, 13, 20, 7, 0, 0.20%, 0, 0, 3, 1050.34
1669867107, 9, 16, 20, 6, 0, 0.20%, 0, 0, 3, 1035.15
1669867193, 9, 19, 20, 5, 0, 0.20%, 0, 0, 3, 1012.10
1669867198, 11, 4, 20, 5, 0, 0.20%, 0, 0, 3, 1051.24
1669867203, 12, 9, 20, 5, 0, 0.20%, 0, 0, 3, 1053.99
1669867209, 12, 12, 20, 5, 0, 0.20%, 0, 0, 3, 989.52
1669867295, 12, 15, 20, 4, 0, 0.20%, 0, 0, 3, 1022.48
1669867391, 13, 17, 20, 3, 0, 0.20%, 0, 0, 3, 1082.21
1669867488, 14, 14, 20, 2, 0, 0.20%, 0, 0, 3, 1102.59
